qid,query,answer_relation,answer_norm,answer_metric,answer_type,query_entity,relation,context
1535,how many fgm cases in uk,=,103000.0,,fgm case,"('uk',)",,()
5560,how many wbc are there,=,4500.0,,wbc,(),,"('there',)"
4705,how many scoops of coffee in french press,=,3.0,,scoop,"('french',)",,"('press', 'coffee')"
2794,how many ounces keurig buttons,=,10.0,,ounce,(),keurig,"('buttons',)"
615,how many beds at mgh,=,999.0,,bed,(),,"('mgh',)"
1888,how many colors does hdr have,=,16777216.0,,color,(),hdr,()
883,how many csa shares per acre,=,30.0,,csa share,(),,"('acre',)"
3604,how many ncmp in singapore,=,12.0,,,"('singapore', 'ncmp')",,()
837,how many counties in idaho,=,44.0,,county,"('idaho',)",,()
6048,how many zulrah kills per trip,=,4.0,,trip,"('zulrah', 'zulrah kills')",kills,()
1832,how many gyms in the us,=,38477.0,,gym,"('us',)",,()
3428,how many watts is alpine mrv-f307,=,75.0,,watt,"('f307',)",,"('mrv', 'alpine')"
4253,how many provinces does canada have,=,10.0,,province,"('canada',)",,()
2724,how many kakapos are left in the world 2020,=,210.0,,kakapo,(),left,"('2020', 'world')"
4865,how many sox teams are there,=,2.0,,sox team,(),,"('there',)"
1031,how many siblings does michael jordan have,=,4.0,,sibling,"('michael jordan',)",,()
483,how many billionaires in chicago,=,17.0,,billionaire,"('chicago',)",,()
1836,how many oncologists in australia,=,568.0,,oncologist,"('australia',)",,()
5679,how many devices for wsj subscription,=,5.0,,device,"('wsj',)",,"('subscription',)"
2389,how many israelites went into egypt,=,120000.0,,,"('egypt', 'israelites')",went,()
5653,how many wonton wrappers in a package,=,50.0,,wonton wrapper,(),,"('package',)"
3855,how many nyayadhish in india,=,31.0,,,"('india',)",,"('nyayadhish',)"
5829,how many yachts does betsy devos,=,10.0,,yacht,"('betsy',)",betsy,"('devos',)"
445,how many beaches are in new jersey,=,44.0,,beach,"('new jersey', 'new')",,()
5204,how many ucmj articles,=,158.0,,ucmj article,(),,()
5674,wrv how many seater,=,5.0,,seater,"('wrv',)",,()
5487,how many counties in california,=,7.0,,county,"('california',)",,()
1297,how many elk are in montana,=,24000.0,,elk,"('montana',)",,()
3714,how many nmz points to imbue slayer helm,=,1250000.0,,nmz,"('slayer',)",points,"('imbue', 'helm', 'to')"
5755,how many xhosa in south africa,=,8000000.0,,,"('xhosa', 'south africa', 'south')",,()
3768,how many nrl players are there,=,13.0,,nrl player,(),,"('there',)"
4104,how many pakistani rupees in one us dollar,=,167.241,,pakistani rupee,"('us',)",,"('one', 'dollar')"
131,how many airplanes does amazon have,=,70.0,,airplane,"('amazon',)",,()
4470,how many reese's are in a bag,=,40.0,,bag,"('reese',)",,"(""'s"",)"
6049,how many zudio stores in india,=,20.0,,zudio store,"('india',)",,()
4656,how many levels in rygar arcade,=,27.0,,level,"('arcade',)",,"('rygar',)"
3518,how many international mxt were made,=,1500.0,,international mxt,(),made,()
1344,how many epc in india,=,26.0,,epc,"('india',)",,()
484,how many billionaires in china,=,373.0,,billionaire,"('china',)",,()
4618,how many rtc buses in andhra pradesh,=,11678.0,,bus,"('andhra', 'rtc')",rtc,"('pradesh',)"
5387,how many ux designers are there in the us,=,238000.0,,designer,"('ux', 'us')",,"('there',)"
1423,how many letters in the russian alphabet,=,33.0,,letter,"('russian',)",,"('alphabet',)"
1140,how many dtc buses are running in delhi,=,2400.0,,dtc bus,"('delhi',)",running,()
315,how many atc centers are there in the us,=,24.0,,center,"('atc', 'us')",,"('there',)"
2863,how many ky players are in the nba,=,1500.0,,player,"('ky', 'nba')",,()
897,how many cts v were made,=,1887.0,,ct,(),made,"('v',)"
1223,how many ecg leads are there,=,12.0,,lead,"('ecg',)",,"('there',)"
4777,how many block in siwan district,=,13.0,,block,"('siwan',)",,"('district',)"
2888,how many knights in catan,=,24.0,,knight,"('catan',)",,()
3769,how many members does nrma have,=,2600000.0,,member,"('nrma',)",,()
5108,how many tui shops in england,=,650.0,,tui shop,"('england',)",,()
3685,how many niv bible versions are there,=,20.0,,bible version,"('niv',)",,"('there',)"
5729,how many electrons does xef4 have,=,36.0,,electron,"('xef4',)",,()
1697,how many seats in david geffen hall,=,2738.0,,seat,"('david', 'david geffen hall')",,()
2779,how many kebab shops in uk,=,20000.0,,kebab shop,"('uk',)",,()
975,how many dbz kai episodes are there,=,61.0,,dbz,"('kai',)",,"('episodes', 'there')"
3584,how many nbme for step 1,=,3.0,,nbme,(),,"('step', '1')"
4452,how many rc willey stores are there,=,7.0,,store,"('rc willey stores', 'rc willey')",,"('there',)"
5863,how many words on the yggdrasil tree,=,3.0,,word,"('yggdrasil',)",,"('tree',)"
1925,how many hospitals in wisconsin,=,146.0,,hospital,"('wisconsin',)",,()
4761,how many sig figs in 100,=,1.0,,fig,"('sig',)",,"('100',)"
5022,how many thoracic vertebrae are there,=,12.0,,vertebrae,"('thoracic', 'thoracic vertebrae')",,"('there',)"
4303,how many pukekos are in new zealand,=,600000.0,,pukeko,"('new zealand', 'new')",,()
1097,how many donuts are in a baker's dozen,=,13.0,,donut,"('baker',)",,"(""'s"", 'dozen')"
2481,how many jcb factories are there in uk,=,22.0,,jcb factory,"('uk',)",,"('there',)"
2580,how many steps in jivdani mandir,=,1465.0,,step,"('jivdani mandir', 'jivdani')",,()
3906,how many obi stores in germany,=,668.0,,obi store,"('germany',)",,()
4918,how many sukhoi india have,=,260.0,,sukhoi,"('india',)",,()
2185,how many types of igg are there,=,4.0,,type,"('igg',)",,"('there',)"
1381,how many armor does erza have,=,100.0,,armor,"('erza',)",,()
1376,how many eruptions has krakatoa had,=,1680.0,,eruption,"('krakatoa',)",,()
3791,how many national parks are in the united states,=,419.0,,national park,"('united', 'the united states')",,()
2895,how many korean characters are there,=,28.0,,korean character,(),,"('there',)"
485,how many billionaires live in illinois,=,18.0,,billionaire,"('illinois',)",live,()
5288,how many unlicensed drivers in california,=,2000000.0,,unlicensed driver,"('california',)",,()
1115,how many drdo in india,=,50.0,,drdo,"('india',)",,()
5896,how many siblings does yoongi have,=,1.0,,sibling,"('yoongi',)",,()
2793,how many kestrels in uk,=,52000.0,,kestrel,"('uk',)",,()
331,how many auburn players are in the nfl draft,=,285.0,,auburn player,(),,"('nfl', 'draft')"
4145,how many pesos is a house in mexico,=,1070000.0,,peso,"('mexico',)",,"('house',)"
3103,how many lfc fans in madrid,=,50000.0,,fan,"('madrid',)",lfc,()
4203,how many employees does plt have,=,75.0,,employee,"('plt',)",,()
2024,how many hsbc branches in hong kong,=,220.0,,hsbc branch,"('hong kong', 'hong')",,()
755,how many cimorelli's are there,=,5.0,,cimorelli,(),,"(""'s"", 'there')"
2239,how many ikea's are in the world,=,313.0,,ikea,(),,"(""'s"", 'world')"
5258,how many uk deaths per year,=,552000.0,,death,"('uk',)",,"('year',)"
5311,how many employees does upwork have,=,430.0,,employee,(),upwork,()
250,how many aqf levels are available in australia,=,10.0,,aqf level,"('australia',)",,"('available',)"
3049,how many lawyers in the us,=,1338678.0,,lawyer,"('us',)",,()
4149,how many students at barton peveril,=,3600.0,,student,"('barton peveril', 'barton')",,()
603,how many buzzer beaters does lebron have,=,18.0,,buzzer beater,(),,"('lebron',)"
2577,how many jiu jitsu submissions are there,=,20.0,,jiu jitsu submission,(),,"('there',)"
3576,how many nbfc in india 2019,=,10000.0,,nbfc,"('india',)",,"('2019',)"
1277,how many eip payments,=,130000000.0,,eip payment,(),,()
2954,how many students does ksu have,=,38000.0,,student,"('ksu',)",ksu,()
2086,how many ibis hotels in india,=,1500.0,,ibis hotel,"('india',)",,()
66,how many aeon big in malaysia,=,22.0,,aeon,"('malaysia',)",,"('big',)"
1308,how many embassies are in the us,=,168.0,,embassy,"('us',)",,()
2956,how many kt is pure gold,=,24.0,,pure gold,"('kt',)",,()
5345,how many uts and states in india,=,28.0,,ut,"('india',)",,"('and', 'states')"
4130,how many pdh for texas pe,=,15.0,,pdh,"('texas',)",,"('pe',)"
2819,how many died khmer rouge,=,2000000.0,,,"('khmer', 'khmer rouge')",died,()
197,how many amhara are there in ethiopia,=,19867817.0,,,"('ethiopia', 'amhara')",,"('there',)"
5244,how many hospitals does uhs have,=,400.0,,hospital,(),,"('uhs',)"
652,how many cbs channels are there,=,15.0,,channel,"('cbs',)",,"('there',)"
5391,how many uyghurs are detained in china,=,1000000.0,,uyghur,"('china',)",detained,()
4252,how many seats available in pqwl available,=,1.0,,seat,(),,"('pqwl', 'available', 'available')"
2220,how many nift colleges in india,=,16.0,,nift college,"('india',)",,()
2516,how many jesus were there,=,24.0,,,"('jesus',)",,"('there',)"
3336,how many nhl players are from california,=,12.0,,nhl player,"('california',)",,()
2767,how many missions in kcd,=,29.0,,mission,"('kcd',)",,()
3119,how many lhds are there in nsw,=,8.0,,lhd,"('nsw',)",,"('there',)"
4488,how many retail workers in the us,=,29000000.0,,retail worker,"('us',)",,()
6029,how many zoba in eritrea,=,6.0,,,"('eritrea',)",,"('zoba',)"
4532,how many rovers are on mars,=,4.0,,rover,"('mars',)",,()
4612,how many rss schools in india,=,24396.0,,school,"('rss', 'india')",,()
5837,how many yale colleges are there,=,14.0,,yale college,(),,"('there',)"
5915,how many yukon gold potatoes in 1 pound,=,5.0,,yukon gold potato,(),,"('pound', '1')"
1731,how many giovanni quests are there,=,2.0,,giovanni quest,(),,"('there',)"
11,how many aaron rodgers super bowl,=,6.0,,bowl,"('aaron rodgers', 'aaron rodgers super')",,()
5250,how many ujjwala connection in india,=,30000000.0,,ujjwala connection,"('india',)",,()
1906,how many hexagons in catan,=,19.0,,hexagon,"('catan',)",,()
1350,how many epl teams,=,20.0,,epl team,(),,()
1385,how many esds in oregon,=,19.0,,esd,"('oregon',)",,()
434,how many offices does bclp have,=,25.0,,office,"('bclp',)",,()
3567,how many nba teams are in the bubble,=,22.0,,team,"('nba',)",,"('bubble',)"
1304,how many elvis movies in hawaii,=,3.0,,movie,"('hawaii',)",elvis,()
1551,how many fiat currencies are there,=,180.0,,fiat currency,(),,"('there',)"
4440,how many branches of rbl bank in india,=,386.0,,branch,"('rbl bank', 'india')",,()
4809,how many smbs in australia,=,2065523.0,,smb,"('australia',)",,()
5099,how many tsc stores are there in canada,=,49.0,,tsc store,"('canada',)",,"('there',)"
4425,how many rakats in qiyam,=,11.0,,rakat,"('qiyam',)",,()
5539,how many waffle houses are in georgia,=,437.0,,waffle house,"('georgia',)",,()
5396,how many uzbeks in russia,=,1900000.0,,uzbek,"('russia',)",,()
2674,how many judges are on the michigan supreme court,=,7.0,,judge,"('michigan', 'the michigan supreme court')",,()
141,how many rings does aikman have,=,3.0,,ring,"('aikman',)",,()
4064,how many osmond brothers,=,9.0,,osmond brother,(),,()
3509,how many mvno are there in singapore,=,11.0,,mvno,"('singapore',)",,"('there',)"
458,how many bfhi hospitals in australia,=,77.0,,bfhi hospital,"('australia',)",,()
3171,how many lp to rank up tft,=,9.0,,lp,(),rank,"('to', 'tft')"
3182,how many labs does labcorp have,=,36.0,,lab,"('labcorp',)",,()
826,how many coffee shops in the us,=,35616.0,,coffee shop,"('us',)",,()
462,how many brgy in manila,=,897.0,,brgy,"('manila',)",,()
1239,how many education levels are in spain,=,5.0,,education level,"('spain',)",,()
4554,how many rnc delegates are there,=,10.0,,rnc delegate,(),,"('there',)"
1719,how many ghost cities in china,=,50.0,,ghost city,"('china',)",,()
3571,how many nbc channels are there,=,223.0,,channel,"('nbc',)",,"('there',)"
1497,how many fcc commissioners are there,=,5.0,,fcc commissioner,(),,"('there',)"
3280,how many md schools in california,=,12.0,,school,"('california', 'md')",,()
2716,how many lacrosse players in the us,=,684730.0,,lacrosse player,"('us',)",,()
5630,how many wkd can i drink and drive,=,1.0,,wkd,(),drink,"('drive', 'and')"
1450,how many gates does ewr have,=,121.0,,gate,"('ewr',)",,()
2555,how many jim crow laws were there,=,7.0,,crow law,"('jim',)",,"('there',)"
3358,how many soldiers can a mkt feed,=,250.0,,soldier,"('mkt',)",can,"('feed',)"
2755,how many kbo teams are there,=,10.0,,kbo team,(),,"('there',)"
1451,how many miles is the earth,=,24860.0,,mile,(),,"('earth',)"
3025,how many laferraris are there,=,499.0,,laferrari,(),,"('there',)"
4060,how many osborne bulls are there in spain,=,90.0,,osborne bull,"('spain',)",,"('there',)"
4371,how many questions are on the tennessee permit test,=,30.0,,question,"('tennessee',)",,"('permit', 'test')"
79,how many african countries,=,54.0,,african country,(),,()
4799,how many slps are there in the us,=,119300.0,,slp,"('us',)",,"('there',)"
5442,how many vfw posts are in the united states,=,1600000.0,,vfw post,"('united', 'the united states')",,()
2441,how many block in jajpur dist,=,10.0,,block,"('jajpur',)",,"('dist',)"
4789,how many skodas sold in uk,=,9200.0,,skoda,"('uk',)",sold,()
420,how many bcc in outlook,=,100.0,,bcc,(),,"('outlook',)"
5564,how many wc india won,=,4.0,,,"('wc', 'india')",,"('won',)"
292,how many asda stores in england,=,339.0,,asda store,"('england',)",,()
3978,how many okapi are left,=,25000.0,,okapi,(),left,()
5551,how many walmarts are in the us,=,4756.0,,walmart,"('us',)",,()
3897,how many obtuse angles does a pentagon have,=,5.0,,obtuse angle,"('pentagon',)",,()
3937,how many odp regions are there,=,4.0,,odp region,(),,"('there',)"
3752,how many members of npt,=,191.0,,member,"('npt',)",,()
4348,how many qantas points to fly to japan,=,5000.0,,qantas point,"('japan',)",fly,"('to',)"
5818,how many magpul xtm,=,4.0,,magpul,"('magpul xtm', 'xtm')",,()
4746,how many shgs are there in odisha,=,600000.0,,shg,"('odisha',)",,"('there',)"
2653,jsa how many jobs a week,=,3.0,,job,"('jsa',)",,"('week',)"
1505,how many fda approved drugs are there,=,20000.0,,drug,"('fda',)",approved,"('there',)"
1777,how many gpos are there in the us,=,600.0,,gpo,"('us',)",,"('there',)"
4188,how many pirates of the caribbean films are there,=,5.0,,pirate,"('caribbean',)",,"('films', 'there')"
607,how many breaths for bvm,=,10.0,,breath,"('bvm',)",,()
390,how many bahais in the world,=,6000000.0,,bahai,(),,"('world',)"
4785,how many skateparks are in the us,=,3500.0,,skatepark,"('us',)",,()
3929,how many octets are there in a mac address,=,6.0,,octet,"('mac',)",,"('there', 'address')"
2213,how many iits are there in india,=,16.0,,iit,"('india',)",,"('there',)"
2362,how many employees does irvine company have,=,16950.0,,employee,(),,"('irvine', 'company')"
4381,how many signs of qiyamah are there,=,77.0,,sign,"('qiyamah',)",,"('there',)"
4242,how many ppg does james harden average,=,36.1,,ppg,"('james harden',)",,"('average',)"
338,how many volcanoes in auckland,=,50.0,,volcano,"('auckland',)",,()
3669,how many nike clearance stores are there,=,20.0,,clearance store,"('nike',)",,"('there',)"
4320,how many pvr in india,=,822.0,,pvr,"('india',)",,()
5152,how many subscribers does tyt have,=,27000.0,,subscriber,(),tyt,()
3723,how many nokia phones have been sold,=,24.0,,nokia phone,(),sold,()
2732,how many kashmiri pandits were killed in kashmir,=,399.0,,kashmiri pandit,"('kashmir',)",killed,()
1723,how many gic in canada,=,10000.0,,gic,"('canada',)",,()
4931,how many islands does sweden have,=,267570.0,,island,"('sweden',)",,()
4384,how many customers does qlik have,=,50000.0,,customer,(),qlik,()
2055,how many huws grey branches,=,100.0,,grey branch,"('huws grey',)",,()
4076,how many ots in nba,=,6.0,,ot,"('nba',)",,()
2654,how many jsf will australia buy,=,28.0,,,"('jsf', 'australia')",buy,()
617,how many terminals does bwi have,=,5.0,,terminal,(),,"('bwi',)"
3943,how many ofw in saudi arabia,=,1000000.0,,ofw,"('saudi', 'saudi arabia')",,()
1846,how many hawaiian islands are there,=,6.0,,hawaiian island,(),,"('there',)"
4678,how many sam's clubs are there,=,599.0,,club,"('sam',)",,"(""'s"", 'there')"
1887,how many hdmi ports on xbox one,=,2.0,,hdmi port,"('xbox',)",,"('one',)"
5327,how many urologists are there in the us,=,12660.0,,urologist,"('us',)",,"('there',)"
5252,how many uk counties,=,48.0,,county,"('uk',)",,()
5629,how many jeep wj were made,=,1456.0,,jeep,"('wj',)",made,()
2458,how many jason bourne movies were made,=,5.0,,movie,"('jason bourne',)",made,()
909,how many county in texas,=,254.0,,county,"('texas',)",,()
3108,how many lgas in victoria,=,79.0,,lga,"('victoria',)",,()
150,how many akhara in india,=,14.0,,akhara,"('india',)",,()
3117,how many lgus in the philippines,=,1540.0,,,"('philippines',)",,"('lgus',)"
1141,how many dtc buses are running in delhi today,=,3781.0,,dtc bus,"('delhi',)",running,"('today',)"
3812,how many nursing homes in florida,=,633.0,,nursing home,"('florida',)",,()
4526,how many rounds in nba draft,=,2.0,,round,"('nba',)",,"('draft',)"
4518,how many rifles in america,=,300000000.0,,rifle,"('america',)",,()
2634,how many jordan episodes,=,10.0,,episode,"('jordan',)",,()
3425,how many types of mrp in sap,=,2.0,,type,"('sap', 'mrp')",,()
5586,how many wendy's,=,6500.0,,wendy,"(""wendy's"",)",,()
220,how many anzacs died in ww2,=,27000.0,,anzac,"('ww2',)",died,()
651,how many cbcs courses are there in du,=,3.0,,cbcs course,"('du',)",,"('there',)"
4387,how many components are in qms structure,=,4.0,,component,(),,"('qms', 'structure')"
3028,how many lahore's are there,=,2.0,,lahore,(),,"(""'s"", 'there')"
559,how many b&q stores are open,=,288.0,,store,"('b&q',)",,"('open',)"
1269,how many egyptian kings were there,=,30.0,,egyptian king,(),,"('there',)"
1271,how many whole foods stores are there in the us,=,500.0,,foods store,"('us',)",,"('whole', 'there')"
1979,how many hmv stores in uk,=,120.0,,hmv store,"('uk',)",,()
1131,how many dams in china,=,22104.0,,dam,"('china',)",,()
2097,how many icbms does china have,=,320.0,,icbm,"('china',)",,()
19,how many abc affiliates are there,=,232.0,,affiliate,"('abc',)",,"('there',)"
5800,how many inhalations in xopenex,=,2.0,,inhalation,"('xopenex',)",,()
3814,how many gp in nuapada district,=,27.0,,,"('gp', 'nuapada')",,"('district',)"
2680,how many juj in supreme court,=,6.0,,,"('supreme', 'juj')",,"('court',)"
2280,how many indiana jones movies,=,5.0,,movie,"('indiana jones',)",,()
1197,how many eal pupils in uk,=,1500000.0,,pupil,"('uk',)",eal,()
314,how many asuras are there,=,12.0,,asura,(),,"('there',)"
4732,how many sfst clues,=,6.0,,sfst clue,(),,()
4053,how many orthodox jews in the world,=,2000000.0,,world,"('jews',)",,"('orthodox',)"
2262,how many immigrants are in the us,=,47000000.0,,immigrant,"('us',)",,()
328,how many attended george floyd funeral,=,10000.0,,funeral,"('george floyd',)",attended,()
4846,how many soes in china,=,97.0,,so,"('china',)",,()
4571,how many roku devices per account,=,6.0,,roku device,(),,"('account',)"
4328,how many privately owned guns in the us,=,393000000.0,,gun,"('us',)",owned,"('privately',)"
1386,how many bishops are in the catholic church,=,5600.0,,bishop,(),,"('church', 'catholic')"
2932,how many krill are there,=,85.0,,krill,(),,"('there',)"
1952,how many hiragana and katakana,=,46.0,,hiragana,"('katakana',)",,"('and',)"
1963,how many hmong in usa,=,260073.0,,hmong,"('usa',)",,()
5827,how many slices xxl papa johns,=,8.0,,slice,"('xxl papa johns', 'xxl')",,()
1187,how many dymocks stores in australia,=,60.0,,dymocks store,"('australia',)",,()
451,how many betty broderick episodes,=,7.0,,episode,"('betty broderick',)",,()
2753,how many innings in kbo baseball,=,12.0,,inning,"('kbo',)",,"('baseball',)"
889,how many employees at csosa,=,865.0,,employee,"('csosa',)",,()
5277,how many border of ulna,=,3.0,,border,"('ulna',)",,()
4811,how many smbs in the uk,=,5900000.0,,smb,"('uk',)",,()
1024,how many dhyan explain by maharshi gheranda,=,32.0,,dhyan,"('maharshi gheranda', 'maharshi')",explain,()
1951,how many standards have hiqa,=,60.0,,standard,"('hiqa',)",,()
825,how many codons are in the mrna strand,=,64.0,,codon,"('mrna',)",,"('strand',)"
721,how many cfm per btu,=,150.0,,cfm,(),,"('btu',)"
520,how many obese in america,=,35000000.0,,,"('america', 'obese')",,()
2908,how many kokoro seeds,=,441.0,,,"('kokoro',)",seeds,()
1349,how many epl games in a season,=,380.0,,epl game,(),,"('season',)"
4863,how many soviets died in ww2,=,26000000.0,,soviet,"('ww2',)",died,()
3033,how many lakes does arizona have,=,120.0,,lake,"('arizona',)",,()
5427,how many vectors are in a1 a2 a3,=,3.0,,vector,"('a1', 'a1 a2 a3')",,()
117,how many ahold stores are there in the us,=,2000.0,,ahold store,"('us',)",,"('there',)"
4153,how many nfl teams use pff,=,4.0,,nfl team,(),use,"('pff',)"
4860,how many soviet soldiers died in ww2,=,26000000.0,,soviet soldier,"('ww2',)",died,()
2542,how many johns are in the world,=,1661.67,,john,(),,"('world',)"
2900,how many kodiak bears in alaska,=,3500.0,,kodiak bear,"('alaska',)",,()
1742,how many viewers does gmb get,=,1800000.0,,viewer,"('gmb',)",gmb,()
843,how many cpas in the us,=,654375.0,,cpa,"('us',)",,()
3594,how many ncaa football teams are there,=,130.0,,football team,"('ncaa',)",,"('there',)"
2435,how many jaegers in pacific rim,=,30.0,,jaeger,"('pacific',)",,"('rim',)"
3318,how many employees does mfs have,=,1670.0,,employee,(),,()
4994,how many tectonic plates does the earth have,=,7.0,,tectonic plate,"('earth',)",,()
474,how many bhms colleges in india,=,24.0,,college,"('india',)",bhms,()
1152,how many stores does dtlr have,=,110.0,,store,"('dtlr',)",,()
5732,how many molecules of xef6 are formed from 12.9,=,2.75,,molecule,"('xef6',)",formed,"('12.9',)"
5356,how many utah temples are there,=,17.0,,temple,"('utah',)",,"('there',)"
327,how many cts v made,=,1887.0,,ct,(),made,"('v',)"
4941,how many sydney nrl teams,=,16.0,,sydney nrl team,(),,()
1433,how many eunuchs in pakistan,=,300000.0,,eunuch,"('pakistan',)",,()
5932,how many zara stores in us,=,2200.0,,store,"('zara',)",,()
5540,how many waffle houses are in the united states,=,2100.0,,waffle house,"('united', 'the united states')",,()
6040,how many locations does zoup have,=,96.0,,location,"('zoup',)",zoup,()
3546,how many nakshatra in kanya rashi,=,27.0,,nakshatra,"('kanya',)",,"('rashi',)"
1718,how many gherkins in a big mac,=,2.0,,gherkin,(),,"('mac', 'big')"
2773,how many employees does kcom have,=,1536.0,,employee,(),kcom,()
4458,how many rcmp members in canada,=,30092.0,,rcmp member,"('canada',)",,()
4710,how many customers does sce have,=,5000000.0,,customer,(),sce,()
5806,how many types of xpath are there in selenium,=,2.0,,type,"('xpath',)",,"('selenium',)"
4244,how many ppg does lebron average,=,36.1,,ppg,"('lebron',)",,"('average',)"
4122,how many pct permits,=,1400.0,,pct permit,(),,()
2479,how many jcb dealers worldwide,=,2000.0,,jcb dealer,(),,"('worldwide',)"
816,how many cng pump in up,=,20.0,,cng,(),pump,"('up',)"
5060,how many tnt to destroy obsidian,=,6000.0,,,(),tnt,"('to', 'obsidian', 'destroy')"
44,how many abc,=,26.0,,,"('abc',)",,()
272,how many times arjuna defeated karna,=,2.0,,time,"('arjuna', 'karna')",defeated,()
5706,how many wyndham points,=,1000.0,,wyndham point,(),,()
1391,how many eskom power stations in mpumalanga,=,11.0,,power station,"('mpumalanga',)",,"('eskom',)"
3900,how many obese people in the world,=,650000000.0,,obese person,(),,"('world',)"
3292,how many mds at jp morgan,=,320.0,,md,"('jp',)",,"('morgan',)"
5984,how many zg runs for revered,=,5.0,,zg,(),runs,"('revered',)"
78,how many african americans live in the united states,=,41400000.0,,,"('the united states', 'americans', 'united', 'african americans')",live,()
3253,how many mbbs seats in india,=,70978.0,,mbbs seat,"('india',)",,()
1641,how many ftz in china,=,6.0,,,"('china',)",,"('ftz',)"
1015,how many branches of dhfl in india,=,209.0,,branch,"('india',)",,"('dhfl',)"
1016,how many dhl depots in uk,=,1200.0,,dhl depot,"('uk',)",,()
3395,how many mountain ranges are in the us,=,3.0,,mountain range,"('us',)",,()
3744,how many npp mps are in parliament,=,275.0,,mp,"('npp',)",,"('parliament',)"
4970,how many tattoos does lil wayne have,=,86.0,,tattoo,"('lil wayne',)",,()
926,how many cvn does the us have,=,19.0,,cvn,"('us',)",,()
2877,how many gears does a klx110 have,=,4.0,,gear,(),,"('klx110',)"
2526,how many jfk airports are there,=,6.0,,jfk airport,(),,"('there',)"
4919,how many sullivan brothers were there,=,5.0,,sullivan brother,(),,"('there',)"
5140,how many twh does the uk use,=,2249.0,,twh,"('uk',)",use,()
861,how many times cppbuzz.com is printed,=,5.0,,time,"('cppbuzz.com',)",printed,()
1994,how many hospitals in ohio,=,189.0,,hospital,"('ohio',)",,()
557,how many bpo employees in philippines,=,1200000.0,,bpo employee,"('philippines',)",,()
4234,how many power plants are in the us,=,9719.0,,power plant,"('us',)",,()
2553,how many jim beam decanters are there,=,1650.0,,jim beam decanter,(),,"('there',)"
6051,how many rakat zuhr namaz,=,4.0,,zuhr,"('namaz', 'rakat zuhr namaz')",,()
355,how many members in awhonn,=,24000.0,,member,"('awhonn',)",,()
2408,how many practices does ivc have,=,20.0,,practice,"('ivc',)",,()
4211,how many pwm fans on one header,=,4.0,,fan,"('pwm',)",pwm,"('one', 'header')"
5217,how many taluks in udupi district,=,7.0,,taluk,(),,"('district', 'udupi')"
4954,how many tags in instagram story,=,10.0,,tag,"('instagram',)",,"('story',)"
2396,how many italian restaurants in usa,=,800000.0,,italian restaurant,"('usa',)",,()
2841,how many kik users,=,300000000.0,,user,"('kik',)",,()
2591,how many runways are in jkia,=,1.0,,runway,"('jkia',)",,()
5819,how many strokes in xue,=,8.0,,stroke,"('xue',)",,()
3877,how many nzers live in australia,=,568000.0,,nzer,"('australia',)",live,()
5013,how many tft champions,=,56.0,,tft champion,(),,()
1683,how many branches does gcb have,=,150.0,,branch,(),gcb,()
2572,how many jiu jitsu belts are there,=,8.0,,jiu jitsu belt,(),,"('there',)"
1330,how many enlisted navy seals are there,=,13.0,,enlisted navy seal,(),,"('there',)"
175,how many alfa romeo giulia sold in us,=,68000.0,,,"('giulia', 'romeo giulia')",sold,"('alfa',)"
2552,how many jillas in kerala,=,941.0,,jilla,"('kerala',)",,()
5719,how many xcaret hotels are there,=,7.0,,hotel,"('xcaret', 'xcaret hotels')",,"('there',)"
4984,how many tcs branches in mumbai,=,19.0,,tcs branch,"('mumbai',)",,()
3148,how many partners in llp india,=,2.0,,partner,"('india', 'llp')",,()
3699,how many nlp presuppositions are there,=,14.0,,nlp presupposition,(),,"('there',)"
2507,how many jehovah's witnesses in the us,=,8400000.0,,witness,"('us',)",jehovah,"(""'s"",)"
3322,how many mgm hotels are there,=,30.0,,mgm hotel,(),,"('there',)"
5032,how many tigers in india,=,3000.0,,tiger,"('india',)",,()
186,how many als patients are there in the us,=,5000.0,,als patient,"('us',)",,"('there',)"
21,how many abc stores are there in hawaii,=,73.0,,store,"('abc', 'hawaii')",,"('there',)"
5951,how many zambreros in australia,=,200.0,,zambrero,"('australia',)",,()
2404,how many itm stores in nz,=,90.0,,itm store,"('nz',)",,()
573,how many bsl 3 labs are in the us,=,4.0,,bsl,"('us',)",,"('3', 'labs')"
976,how many dbt skills are there,=,4.0,,dbt skill,(),,"('there',)"
5279,how many ulster bank branches in ireland,=,146.0,,bank branch,"('ireland',)",,"('ulster',)"
3773,how many types of nrv valves are there,=,2.0,,type,"('nrv',)",,"('there', 'valves')"
1130,how many dams are there in california,=,1500.0,,dam,"('california',)",,"('there',)"
2114,how many icp joker cards are there,=,6.0,,joker card,"('icp',)",,"('there',)"
1452,how many runways does ewr have,=,3.0,,runway,"('ewr',)",ewr,()
2044,how many huguenots were killed in france,=,70000.0,,huguenot,"('france',)",killed,()
3440,how many viewers msnbc,=,2800000.0,,viewer,"('msnbc',)",,()
3515,how many mwh does a city use,=,1000.0,,mwh,(),,"('city', 'use')"
144,how many airports in london,=,6.0,,airport,"('london',)",,()
4353,how many rakats in zuhr qaza namaz,=,2.0,,rakat,"('zuhr qaza',)",,"('namaz',)"
1623,how many fsa in canada,=,2000.0,,fsa,"('canada',)",,()
