"qid","query","answer.default","answer_norm","answer_relation","answer_metric","comments","category","instances_req","qualifier_req","aggregate","prediction","cardinals","tf_answer","precision","correctness","std","relaxed_precision","equivalent","subgroups","unrelated","equivalent_ids","subgroups_ids","unrelated_ids"
222,"how many fbi agents are there 2020",13233,13233,"=",,,"organization",1,1,"weighted",48,"[(5.0, 0.69), (48.0, 0.88), (900.0, 0.79)]","[('4', 0.69, 'five major types', 5.0), ('17', 0.88, '48 positions', 48.0), ('20', 0.44, '56 field offices', 56.0), ('24', 0.79, 'some 900 individuals', 900.0)]",0,0,504.77,0,"[('17', 0.88, '48 positions', 48.0)]","[('4', 0.69, 'five major types', 5.0)]","[('24', 0.79, 'some 900 individuals', 900.0)]",,,
2670,"how many panchayat in kujang block",1,1,"=",,"no count available, instance will be helpful","politics",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
1152,"how many cpm mla in west bengal",26,26,"=",,"count unavailable, instances may be helpful, time-bound","politics",1,1,"weighted",60,"[(60.0, 0.68)]","[('4', 0.44, '136 of the total 294 seats', 136.0), ('32', 0.68, 'nearly 60 seats', 60.0)]",0,0.43,,0,"[('32', 'nearly 60 seats')]",,,,,
234,"how many seats jsp won in 2019",1,1,"=",,,"politics",1,1,"weighted",175,"[(1.0, 0.81), (175.0, 0.94), (230.0, 0.58)]","[('1', 0.81, 'one seat', 1.0), ('2', 0.94, '175 Assembly seats', 175.0), ('14', 0.58, '230-seat parliament', 230.0)]",0,0.01,119.54,0,"[('2', 0.94, '175 Assembly seats', 175.0)]","[('1', 0.81, 'one seat', 1.0)]","[('14', 0.58, '230-seat parliament', 230.0)]",,,
3910,"how many seats vba won in vidhan sabha",0,0,"=",,,"politics",1,1,"weighted",1,"[(1.0, 0.69), (60.0, 0.62)]","[('2', 0.69, 'one State', 1.0), ('14', 0.62, '60 B', 60.0), ('31', 0.45, '1 See answer', 1.0)]",0,0,41.72,0,"[('2', 0.69, 'one State', 1.0)]","[]","[('14', 0.62, '60 B', 60.0)]",,,
1652,"how many nsli semifinalists are there","200-300",200,"=",,"range, only approx","politics",1,0,"weighted",,"[]","[]",0,,,0,,,,,,
1294,"how many dnc members are there",200,200,"=",,,"politics",1,1,"weighted",535,"[(168.0, 0.51), (535.0, 0.93)]","[('3', 0.51, '168 members', 168.0), ('44', 0.93, '535 members', 535.0)]",0,0.37,259.51,0,"[('44', 0.93, '535 members', 535.0)]","[('3', 0.51, '168 members', 168.0)]","[]",,,
3481,"how many rspca shelters are there in australia",15,15,"=",,"Difficult, aggregated answer not available, individual member shelters from wikipedia page","social",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
1919,"how many dwcra groups are there in india","million of groups",1000000,"=",,"not enough information","social",1,1,"weighted",119,"[(119.0, 0.97), (54.0, 0.94)]","[('2', 0.97, '119 DWCRA units', 119.0), ('10', 0.94, '54 DWCRA groups', 54.0)]",0,0,45.96,0,"[('2', 0.97, '119 DWCRA units', 119.0)]","[('10', 0.94, '54 DWCRA groups', 54.0)]","[]",,,
1746,"how many odf states in india",7,7,"=",,"no authoratative site","social",1,1,"weighted",28,"[(28.0, 0.98), (28.0, 0.98), (28.0, 0.99), (28.0, 0.97), (37.0, 0.76), (28.0, 0.98), (28.0, 0.98), (28.0, 0.93), (29.0, 0.94), (29.0, 0.98), (28.0, 0.99), (28.0, 0.98), (28.0, 0.99), (28.0, 0.89), (28.0, 0.89), (28.0, 0.98), (28.0, 0.95), (28.0, 0.99), (17.0, 0.65), (29.0, 0.98), (28.0, 0.99), (31.0, 0.54)]","[('0', 0.98, '28 States', 28.0), ('1', 0.98, '28 states', 28.0), ('3', 0.99, '28 states', 28.0), ('4', 0.97, '28 states', 28.0), ('5', 0.76, '37 States', 37.0), ('6', 0.98, '28 states', 28.0), ('7', 0.98, '28 states', 28.0), ('8', 0.93, '28 states', 28.0), ('10', 0.94, '29 Indian states', 29.0), ('12', 0.98, '29 states', 29.0), ('13', 0.99, '28 states', 28.0), ('15', 0.98, '28 states', 28.0), ('16', 0.99, '28 states', 28.0), ('17', 0.89, '28 states', 28.0), ('18', 0.89, '28 states', 28.0), ('19', 0.98, '28 States', 28.0), ('21', 0.95, '28 states', 28.0), ('23', 0.99, '28 states', 28.0), ('26', 0.65, '17 countries', 17.0), ('28', 0.98, '29 states', 29.0), ('34', 0.99, '28 states', 28.0), ('40', 0.54, '31 states', 31.0)]",0,0.25,3.19,0,"[('3', 0.99, '28 states', 28.0), ('13', 0.99, '28 states', 28.0), ('16', 0.99, '28 states', 28.0), ('23', 0.99, '28 states', 28.0), ('34', 0.99, '28 states', 28.0), ('0', 0.98, '28 States', 28.0), ('1', 0.98, '28 states', 28.0), ('6', 0.98, '28 states', 28.0), ('7', 0.98, '28 states', 28.0), ('15', 0.98, '28 states', 28.0), ('19', 0.98, '28 States', 28.0), ('4', 0.97, '28 states', 28.0), ('21', 0.95, '28 states', 28.0), ('8', 0.93, '28 states', 28.0), ('17', 0.89, '28 states', 28.0), ('18', 0.89, '28 states', 28.0), ('10', 0.94, '29 Indian states', 29.0), ('12', 0.98, '29 states', 29.0), ('28', 0.98, '29 states', 29.0), ('40', 0.54, '31 states', 31.0)]","[('26', 0.65, '17 countries', 17.0)]","[('5', 0.76, '37 States', 37.0)]",,,
1812,"how many orphanages in the us",0,0,"=",,,"social",1,1,"weighted",,"[]","[]",0,,,0,,,,,,
1633,"how many nri in canada","1.78M",1780000,"=",,"Time-bound","demography",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
1075,"how many cajuns in louisiana",815259,815259,"=",,,"demography",0,1,"weighted",1000000,"[(1000000.0, 0.93)]","[('35', 0.93, 'nearly 1 million Cajuns', 1000000.0)]",0,0.82,,0,"[('35', 'nearly 1 million Cajuns')]",,,,,
1357,"how many hygienists per dentist in virginia",3,3,"=",,,"demography",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
176,"how many dbqs are on the apush exam 2020",1,1,"=",,,"education",0,1,"weighted",5,"[(5.0, 0.81), (5.0, 0.97), (9.0, 0.82), (5.0, 0.53), (5.0, 0.98), (5.0, 0.92), (5.0, 0.98)]","[('10', 0.81, 'five', 5.0), ('17', 0.97, 'five documents', 5.0), ('20', 0.82, 'nine units', 9.0), ('30', 0.53, '5 document', 5.0), ('33', 0.98, 'five documents', 5.0), ('40', 0.49, 'seven 5-document DBQs', 7.0), ('42', 0.92, 'five documents', 5.0), ('44', 0.98, 'five documents', 5.0)]",0,0.2,1.51,0,"[('33', 0.98, 'five documents', 5.0), ('44', 0.98, 'five documents', 5.0), ('17', 0.97, 'five documents', 5.0), ('42', 0.92, 'five documents', 5.0), ('10', 0.81, 'five', 5.0), ('30', 0.53, '5 document', 5.0)]","[]","[('20', 0.82, 'nine units', 9.0)]",,,
4116,"how many confirmed cases of covid-19 in michigan","2.33M",2330000,"=",,"Time-bound","health",0,1,"weighted",45,"[(45.0, 0.95)]","[('18', 0.95, '45 cases', 45.0)]",0,0,,0,"[('18', '45 cases')]",,,,,
1174,"how many cases of corona in ohio","2.63M",2630000,"=",,"Time-bound","health",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
3965,"how many covid cases in houston","6.47M",6470000,"=",,"Time-bound","health",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
3282,"how many positive cases in florida today","5.75M",5750000,"=",,"Time-bound","health",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
1861,"how many honda cbx were made","Around 41000",41000,"=",,"one serac result answer, without aggregation","industry",0,1,"weighted",80,"[(80.0, 0.89), (2014.0, 0.61)]","[('4', 0.89, '80 CBXs', 80.0), ('31', 0.61, '2014 model year', 2014.0)]",0,0,1367.54,0,"[('4', 0.89, '80 CBXs', 80.0)]","[]","[('31', 0.61, '2014 model year', 2014.0)]",,,
650,"how many jeep yj were made",557412,557412,"=",,,"industry",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
265,"how many ppv buys for ufc 250",90000,90000,"=",,,"industry",0,1,"weighted",1650000,"[(1650000.0, 0.88), (2400000.0, 0.97), (1500000.0, 0.58)]","[('4', 0.88, '1.65 million pay-per-view buys', 1650000.0), ('17', 0.97, '2.4 million buys', 2400000.0), ('28', 0.58, '1.5 million PPV buys', 1500000.0)]",0,0.05,482182.54,0,"[('4', 0.88, '1.65 million pay-per-view buys', 1650000.0), ('28', 0.58, '1.5 million PPV buys', 1500000.0)]","[]","[('17', 0.97, '2.4 million buys', 2400000.0)]",,,
3961,"how many employees does vmc have",108,108,"=",,,"organization",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
881,"how many azs in us-east-1",6,6,"=",,,"organization",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
3587,"how many trains does mrt have",579,579,"=",,,"industry",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
3822,"how many ukrainian soldiers have died",4629,4629,"=",,"ambigous, multiple counts","politics",0,1,"weighted",,"[]","[]",0,,,0,,,,,,
2511,"how many kaepernick shoes were sold",,,"=",,"Non-entity","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
1205,"mamy czas",,,"=",,"Invalid question","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
1128,"how many coke stocks are there",,,"=",,"Non-entity.","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
724,"how many shares of ahbeesee were sold",,,"=",,"Non-entity","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
1507,"how many irelands can fit in texas",,,"=",,"not count related","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
2688,"how many kyber to stake",,,"=",,"Non-entity","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
1629,"how many times nrc in india",,,"=",,"Non-entity","other",,,"weighted",,"[]","[]",0,,,0,,,,,,
496,"how many nba players have coronavirus",,,"=",,"has entities, multiple counts, time-bound","sports",1,1,"weighted",302,"[(450.0, 0.79), (7.0, 0.98), (302.0, 0.76)]","[('8', 0.79, '450 or so NBA players', 450.0), ('22', 0.98, 'seven players', 7.0), ('28', 0.41, 'seven....', 7.0), ('36', 0.27, 'seven', 7.0), ('44', 0.76, '302 NBA players', 302.0)]",,,225.53,0,"[('44', 0.76, '302 NBA players', 302.0)]","[('22', 0.98, 'seven players', 7.0)]","[('8', 0.79, '450 or so NBA players', 450.0)]",,,
1170,"how many seats in honda crz",,,"=",,"Non-entity","other",,,"weighted",5,"[(5.0, 0.8), (5.0, 0.79)]","[('7', 0.8, 'five people', 5.0), ('21', 0.79, 'five people', 5.0)]",,,0,0,"[('7', 0.8, 'five people', 5.0), ('21', 0.79, 'five people', 5.0)]","[]","[]",,,
1940,"how many eating utensils are in the white house",,,"=",,"Non-entity","other",,,"weighted",12,"[(12.0, 0.73), (3.0, 0.58)]","[('30', 0.73, '12 people', 12.0), ('40', 0.58, 'Three Eating Utensils', 3.0)]",,,6.36,0,"[('30', 0.73, '12 people', 12.0)]","[('40', 0.58, 'Three Eating Utensils', 3.0)]","[]",,,
354,"how many angles does a pentagon have",,,"=",,"Non-entity","other",,,"weighted",5,"[(5.0, 0.99), (5.0, 0.58), (5.0, 0.99), (5.0, 0.98), (5.0, 0.88), (5.0, 0.99), (5.0, 0.99), (5.0, 0.99), (5.0, 0.99), (5.0, 0.99), (5.0, 0.79), (5.0, 0.99), (5.0, 0.99), (5.0, 0.99), (5.0, 0.58), (5.0, 0.58), (5.0, 0.97), (5.0, 0.99)]","[('0', 0.99, '5 sides', 5.0), ('1', 0.58, 'five angles', 5.0), ('3', 0.99, 'five sides', 5.0), ('4', 0.98, 'five angles', 5.0), ('5', 0.88, '5 equal sides 5 equal internal angles', 5.0), ('6', 0.99, '5 sides', 5.0), ('9', 0.99, '5 sides', 5.0), ('10', 0.99, '5 sides', 5.0), ('11', 0.99, '5 sides', 5.0), ('12', 0.43, '5 What', 5.0), ('13', 0.99, '5 sides', 5.0), ('14', 0.79, '5 sided polygon', 5.0), ('17', 0.99, 'five sides', 5.0), ('18', 0.99, '5 sides', 5.0), ('21', 0.99, '5 sides', 5.0), ('27', 0.58, '5 sides 5', 5.0), ('27', 0.58, '5 sides 5', 5.0), ('29', 0.97, '5 sides', 5.0), ('30', 0.99, '5 sides', 5.0), ('31', 0.42, '3 What do you call a 9 sided shape', 3.0), ('31', 0.42, '3 What do you call a 9 sided shape', 9.0)]",,,0,0,"[('0', 0.99, '5 sides', 5.0), ('3', 0.99, 'five sides', 5.0), ('6', 0.99, '5 sides', 5.0), ('9', 0.99, '5 sides', 5.0), ('10', 0.99, '5 sides', 5.0), ('11', 0.99, '5 sides', 5.0), ('13', 0.99, '5 sides', 5.0), ('17', 0.99, 'five sides', 5.0), ('18', 0.99, '5 sides', 5.0), ('21', 0.99, '5 sides', 5.0), ('30', 0.99, '5 sides', 5.0), ('4', 0.98, 'five angles', 5.0), ('29', 0.97, '5 sides', 5.0), ('5', 0.88, '5 equal sides 5 equal internal angles', 5.0), ('14', 0.79, '5 sided polygon', 5.0), ('1', 0.58, 'five angles', 5.0), ('27', 0.58, '5 sides 5', 5.0), ('27', 0.58, '5 sides 5', 5.0)]","[]","[]",,,
2990,"how many msq in arr",,,"=",,"obscure","other",,,"weighted",80,"[(80.0, 0.97), (51.0, 0.78), (210.0, 0.58), (12.0, 0.55)]","[('4', 0.97, '80 quests', 80.0), ('20', 0.42, '186 give or take', 186.0), ('38', 0.78, '51 quests', 51.0), ('40', 0.58, 'about 210 hours', 210.0), ('44', 0.55, '12 - ARR - Do', 12.0)]",,,85.82,0,"[('4', 0.97, '80 quests', 80.0)]","[('38', 0.78, '51 quests', 51.0), ('44', 0.55, '12 - ARR - Do', 12.0)]","[('40', 0.58, 'about 210 hours', 210.0)]",,,
2145,"how many floors are in the white house",,,"=",,"Non-entity","other",,,"weighted",6,"[(4.0, 0.67), (6.0, 0.66), (6.0, 0.89), (4.0, 0.84), (3.0, 0.99), (6.0, 0.97), (6.0, 0.5), (6.0, 0.98), (6.0, 0.98), (6.0, 0.99)]","[('3', 0.67, 'four floors', 4.0), ('6', 0.66, 'six stories', 6.0), ('14', 0.89, '6 levels', 6.0), ('17', 0.84, 'four floors', 4.0), ('18', 0.99, 'three floors', 3.0), ('19', 0.97, '6 levels', 6.0), ('22', 0.5, 'six stories', 6.0), ('25', 0.98, 'six floors', 6.0), ('31', 0.98, 'six floors', 6.0), ('34', 0.99, 'six floors', 6.0)]",,,1.16,0,"[('34', 0.99, 'six floors', 6.0), ('25', 0.98, 'six floors', 6.0), ('31', 0.98, 'six floors', 6.0), ('19', 0.97, '6 levels', 6.0), ('14', 0.89, '6 levels', 6.0), ('6', 0.66, 'six stories', 6.0), ('22', 0.5, 'six stories', 6.0), ('3', 0.67, 'four floors', 4.0), ('17', 0.84, 'four floors', 4.0)]","[('18', 0.99, 'three floors', 3.0)]","[]",,,
1579,"how many calories in giant jbc meal",,,"=",,"Non-entity","other",,,"weighted",360,"[(360.0, 0.95), (1200.0, 0.5), (290.0, 0.98)]","[('2', 0.95, '360 calories', 360.0), ('28', 0.5, '1200 Calorie', 1200.0), ('36', 0.98, '290 calories', 290.0)]",,,506.39,0,"[('2', 0.95, '360 calories', 360.0), ('36', 0.98, '290 calories', 290.0)]","[]","[('28', 0.5, '1200 Calorie', 1200.0)]",,,
3207,"how many shots pcp air rifle",,,"=",,"Non-entity","other",,,"weighted",10,"[(64.0, 0.56), (180.0, 0.96), (10.0, 0.92), (160.0, 0.6), (10.0, 0.96), (10.0, 0.77), (51.0, 0.84), (15.0, 0.65), (10.0, 0.98), (10.0, 0.53), (10.0, 0.87)]","[('6', 0.56, '64 shots', 64.0), ('12', 0.96, '180 consistent shots', 180.0), ('16', 0.92, '10-shot string', 10.0), ('22', 0.6, 'approximately 160 shots', 160.0), ('25', 0.96, '10-shot string', 10.0), ('30', 0.77, '10-shot', 10.0), ('35', 0.84, '51 shots', 51.0), ('40', 0.65, '15 shots', 15.0), ('41', 0.98, '10-shot clips', 10.0), ('43', 0.53, '10- shot rotary magazine system', 10.0), ('45', 0.87, '10-shot version', 10.0)]",,,63.23,0,"[('41', 0.98, '10-shot clips', 10.0), ('25', 0.96, '10-shot string', 10.0), ('16', 0.92, '10-shot string', 10.0), ('45', 0.87, '10-shot version', 10.0), ('30', 0.77, '10-shot', 10.0), ('43', 0.53, '10- shot rotary magazine system', 10.0)]","[]","[('6', 0.56, '64 shots', 64.0), ('12', 0.96, '180 consistent shots', 180.0), ('22', 0.6, 'approximately 160 shots', 160.0), ('35', 0.84, '51 shots', 51.0), ('40', 0.65, '15 shots', 15.0)]",,,
1549,"how many stocks in ivv",,,"=",,"Non-entity","other",,,"weighted",500,"[(500.0, 0.97), (500.0, 0.98), (500.0, 0.98), (500.0, 0.93), (500.0, 0.96), (500.0, 0.7), (500.0, 0.96), (500.0, 0.98), (500.0, 0.98), (500.0, 0.95), (500.0, 0.88), (500.0, 0.97), (500.0, 0.94), (500.0, 0.98), (500.0, 0.92), (500.0, 0.55), (500.0, 0.9), (500.0, 0.97), (500.0, 0.97), (500.0, 0.7), (500.0, 0.97), (500.0, 0.92), (500.0, 0.97), (500.0, 0.98)]","[('0', 0.97, '500 ETF', 500.0), ('1', 0.98, '500 ETF', 500.0), ('2', 0.98, '500 ETF', 500.0), ('3', 0.93, '500 Index-delivers', 500.0), ('5', 0.96, '500 index fund', 500.0), ('6', 0.27, '500 of the largest cap U.S. stocks. 3. Use at the core of your portfolio to seek long-term growth. The iShares Core S&P 500 ETF', 500.0), ('6', 0.27, '500 of the largest cap U.S. stocks. 3. Use at the core of your portfolio to seek long-term growth. The iShares Core S&P 500 ETF', 3.0), ('6', 0.27, '500 of the largest cap U.S. stocks. 3. Use at the core of your portfolio to seek long-term growth. The iShares Core S&P 500 ETF', 500.0), ('7', 0.7, '500 index fund', 500.0), ('9', 0.96, '500 index', 500.0), ('10', 0.98, '500 Index', 500.0), ('11', 0.98, '500 Index', 500.0), ('13', 0.48, '500 U.S.', 500.0), ('14', 0.43, '500 ETF Forecast', 500.0), ('16', 0.95, '500 ETF', 500.0), ('17', 0.88, '500 ETF', 500.0), ('18', 0.97, '500 ETF', 500.0), ('22', 0.94, '500 ETF', 500.0), ('23', 0.98, '500 ETF', 500.0), ('24', 0.92, '500 ETF', 500.0), ('26', 0.55, ""500 ETF's units"", 500.0), ('29', 0.9, '500 index fund', 500.0), ('34', 0.44, '500 ...', 500.0), ('36', 0.97, '500 ETF', 500.0), ('38', 0.97, '500 index', 500.0), ('39', 0.7, '500 ETF', 500.0), ('40', 0.97, '500 ETF', 500.0), ('42', 0.92, '500 ETF', 500.0), ('45', 0.97, '500 ETF', 500.0), ('47', 0.98, '500 ETF', 500.0)]",,,0,0,"[('1', 0.98, '500 ETF', 500.0), ('2', 0.98, '500 ETF', 500.0), ('10', 0.98, '500 Index', 500.0), ('11', 0.98, '500 Index', 500.0), ('23', 0.98, '500 ETF', 500.0), ('47', 0.98, '500 ETF', 500.0), ('0', 0.97, '500 ETF', 500.0), ('18', 0.97, '500 ETF', 500.0), ('36', 0.97, '500 ETF', 500.0), ('38', 0.97, '500 index', 500.0), ('40', 0.97, '500 ETF', 500.0), ('45', 0.97, '500 ETF', 500.0), ('5', 0.96, '500 index fund', 500.0), ('9', 0.96, '500 index', 500.0), ('16', 0.95, '500 ETF', 500.0), ('22', 0.94, '500 ETF', 500.0), ('3', 0.93, '500 Index-delivers', 500.0), ('24', 0.92, '500 ETF', 500.0), ('42', 0.92, '500 ETF', 500.0), ('29', 0.9, '500 index fund', 500.0), ('17', 0.88, '500 ETF', 500.0), ('7', 0.7, '500 index fund', 500.0), ('39', 0.7, '500 ETF', 500.0), ('26', 0.55, ""500 ETF's units"", 500.0)]","[]","[]",,,
2520,"how many kayle in tft",,,"=",,"Non-entity","other",,,"weighted",5,"[(5.5, 0.52), (13.0, 0.94), (3.0, 0.64)]","[('2', 0.33, '5 min', 5.0), ('3', 0.52, '5.5 - Item build', 5.5), ('13', 0.94, '13 Kayles', 13.0), ('35', 0.64, '3 BM', 3.0)]",,,5.29,0,"[('3', 0.52, '5.5 - Item build', 5.5), ('35', 0.64, '3 BM', 3.0)]","[]","[('13', 0.94, '13 Kayles', 13.0)]",,,
3793,"how many kilometers udupi to malpe",,,"=",,"Non-entity","other",,,"weighted",6,"[(5.33, 0.72), (66.0, 0.85), (65.0, 0.96), (6.0, 0.84), (6.0, 0.94), (6.0, 0.94), (6.0, 0.94), (6.0, 0.69)]","[('0', 0.72, '5.33 km', 5.33), ('6', 0.85, '66 kilometres', 66.0), ('10', 0.96, '65 km', 65.0), ('12', 0.32, '69.5 km', 69.5), ('19', 0.84, 'about six kilometers', 6.0), ('25', 0.94, 'about six kilometers', 6.0), ('26', 0.94, 'about six kilometers', 6.0), ('39', 0.94, 'about six kilometers', 6.0), ('40', 0.32, 'about 10 kilometers', 10.0), ('45', 0.69, 'about six kilometers', 6.0), ('46', 0.39, 'two ways', 2.0)]",,,27.62,0,"[('25', 0.94, 'about six kilometers', 6.0), ('26', 0.94, 'about six kilometers', 6.0), ('39', 0.94, 'about six kilometers', 6.0), ('19', 0.84, 'about six kilometers', 6.0), ('45', 0.69, 'about six kilometers', 6.0), ('0', 0.72, '5.33 km', 5.33)]","[]","[('6', 0.85, '66 kilometres', 66.0), ('10', 0.96, '65 km', 65.0)]",,,
194,"how many credits is nqf level 7",,,"=",,"Non-entity","other",,,"weighted",120,"[(120.0, 0.96), (180.0, 0.91), (180.0, 0.91), (120.0, 0.98), (486.0, 0.99), (56.0, 0.71), (120.0, 0.81), (120.0, 0.53), (120.0, 0.7), (420.0, 0.98), (120.0, 0.9)]","[('1', 0.96, '120 credits', 120.0), ('3', 0.91, '180 ECTS credits', 180.0), ('5', 0.91, '180 ECTS credits', 180.0), ('13', 0.98, '120 credits', 120.0), ('22', 0.99, '486 credits', 486.0), ('24', 0.71, '56 credits', 56.0), ('33', 0.81, '120 credits', 120.0), ('35', 0.53, '120 credit Advanced Diploma', 120.0), ('39', 0.7, '120 credits', 120.0), ('41', 0.98, '420 credits', 420.0), ('42', 0.33, '560 SAQA credits', 560.0), ('43', 0.9, '120 credits', 120.0)]",,,137.06,0,"[('13', 0.98, '120 credits', 120.0), ('1', 0.96, '120 credits', 120.0), ('43', 0.9, '120 credits', 120.0), ('33', 0.81, '120 credits', 120.0), ('39', 0.7, '120 credits', 120.0), ('35', 0.53, '120 credit Advanced Diploma', 120.0)]","[('24', 0.71, '56 credits', 56.0)]","[('3', 0.91, '180 ECTS credits', 180.0), ('5', 0.91, '180 ECTS credits', 180.0), ('22', 0.99, '486 credits', 486.0), ('41', 0.98, '420 credits', 420.0)]",,,
3475,"how many different rsa-1024 keys are there",,,"=",,"Non-entity","other",,,"weighted",3,"[(3.0, 0.6), (3.0, 0.96), (5.0, 0.78), (3.0, 0.69)]","[('4', 0.6, 'three different public keys', 3.0), ('12', 0.96, '3-key Triple DES', 3.0), ('22', 0.78, '5 points', 5.0), ('23', 0.69, 'three different 1024 bit RSA public keys', 3.0)]",,,1,0,"[('12', 0.96, '3-key Triple DES', 3.0), ('23', 0.69, 'three different 1024 bit RSA public keys', 3.0), ('4', 0.6, 'three different public keys', 3.0)]","[]","[('22', 0.78, '5 points', 5.0)]",,,
4601,"how many km from tvm to kanyakumari",,,"=",,"Non-entity","other",,,"weighted",90,"[(130.0, 0.93), (90.0, 0.96), (90.0, 0.92), (71.0, 0.97), (706.0, 0.92)]","[('7', 0.44, '103 km', 103.0), ('8', 0.93, '130 km', 130.0), ('9', 0.96, '90 KM', 90.0), ('10', 0.92, '90 kms', 90.0), ('11', 0.97, 'approximately 71 kilometers', 71.0), ('19', 0.92, '706 km', 706.0)]",,,273.98,0,"[('9', 0.96, '90 KM', 90.0), ('10', 0.92, '90 kms', 90.0), ('11', 0.97, 'approximately 71 kilometers', 71.0)]","[]","[('8', 0.93, '130 km', 130.0), ('19', 0.92, '706 km', 706.0)]",,,
2668,"how many calories in kuey teow",,,"=",,"Non-entity","other",,,"weighted",639,"[(639.0, 0.94), (742.0, 0.93)]","[('17', 0.35, 'about 744 calories. Having char kuey teow for lunch is only a bad idea if you’re having it every single day. Remember, moderation is key! #4 Roti Canai On its own, without any addition of eggs, cheese, or bananas, a single Roti Canai Kosong is 301 calories', 744.0), ('17', 0.35, 'about 744 calories. Having char kuey teow for lunch is only a bad idea if you’re having it every single day. Remember, moderation is key! #4 Roti Canai On its own, without any addition of eggs, cheese, or bananas, a single Roti Canai Kosong is 301 calories', 4.0), ('17', 0.35, 'about 744 calories. Having char kuey teow for lunch is only a bad idea if you’re having it every single day. Remember, moderation is key! #4 Roti Canai On its own, without any addition of eggs, cheese, or bananas, a single Roti Canai Kosong is 301 calories', 301.0), ('39', 0.94, '639 calories per', 639.0), ('41', 0.93, '742 calories', 742.0)]",,,72.83,0,"[('39', 0.94, '639 calories per', 639.0), ('41', 0.93, '742 calories', 742.0)]","[]","[]",,,
2547,"how many calories are in ketchup",,,"=",,"Non-entity","other",,,"weighted",20,"[(15.0, 0.72), (6.0, 0.87), (100.0, 0.98), (3.8, 0.98), (15.0, 0.95), (44.0, 0.98), (10.0, 0.96), (67.0, 0.9), (233.0, 0.9), (20.0, 0.86), (460.0, 0.83), (10.0, 0.58), (15.0, 0.95), (499.0, 0.61), (20.0, 0.89)]","[('0', 0.72, '15 calories', 15.0), ('3', 0.47, '15 Calories Quantity tablespoon', 15.0), ('4', 0.87, '6 calories', 6.0), ('5', 0.45, '9 calories', 9.0), ('6', 0.98, '100 g', 100.0), ('8', 0.31, '10 calories', 10.0), ('10', 0.98, 'about 3.8 grams', 3.8), ('12', 0.44, 'about 22 calories', 22.0), ('13', 0.95, 'about 15 calories', 15.0), ('14', 0.98, '44 calories', 44.0), ('15', 0.96, '10 calories', 10.0), ('17', 0.9, '67 calories', 67.0), ('20', 0.9, '233 calories', 233.0), ('25', 0.31, '58 calories', 58.0), ('27', 0.42, '95 milligrams', 95.0), ('31', 0.86, '20 calories', 20.0), ('35', 0.83, '460 calories', 460.0), ('36', 0.58, '10 calories', 10.0), ('38', 0.95, '15 calories', 15.0), ('39', 0.61, '499 calories', 499.0), ('40', 0.89, '20 calories', 20.0), ('46', 0.4, '20 calories', 20.0)]",,,164.67,0,"[('40', 0.89, '20 calories', 20.0), ('31', 0.86, '20 calories', 20.0), ('0', 0.72, '15 calories', 15.0), ('13', 0.95, 'about 15 calories', 15.0), ('38', 0.95, '15 calories', 15.0)]","[('4', 0.87, '6 calories', 6.0), ('10', 0.98, 'about 3.8 grams', 3.8), ('15', 0.96, '10 calories', 10.0), ('36', 0.58, '10 calories', 10.0)]","[('6', 0.98, '100 g', 100.0), ('14', 0.98, '44 calories', 44.0), ('17', 0.9, '67 calories', 67.0), ('20', 0.9, '233 calories', 233.0), ('35', 0.83, '460 calories', 460.0), ('39', 0.61, '499 calories', 499.0)]",,,
